,Train,Validation,Test
MAE,1.2378450631886082,1.066453160363657,1.0607385437887704
RMSE,7.681089359119206,3.227868549192655,2.3516744538218073
R$^2$,0.7596968043507407,0.7667170773296574,0.832757972325042
